question_type	question_text	required	page_number	option_text	option_values
radio	Sometimes there are so many little things to be done that I just ignore them all.	1	6	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I usually think carefully before doing anything.	1	6	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	1,2,3,4
radio	When I am really excited, I tend not to think of the consequences of my actions.	1	6	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	In the heat of an argument, I will often say things that I later regret.	1	6	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I would like to go scuba diving.	1	6	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I tend to act without thinking when I am really excited.	1	6	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I always keep my feelings under control.	1	6	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	1,2,3,4
radio	When I am really happy, I often find myself in situations that I normally wouldn't be comfortable with.	1	6	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	Before making up my mind, I consider all the advantages and disadvantages.	1	6	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	1,2,3,4
radio	I would enjoy fast driving.	1	6	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	When I am very happy, I feel like it is ok to give in to cravings or overindulge.	1	6	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	Sometimes I do impulsive things that I later regret.	1	6	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
radio	I am surprised at the things I do while in a great mood.	1	6	Agree Strongly,Agree Some,Disagree Some,Disagree Strongly	4,3,2,1
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	7		
