question_type	question_text	required	page_number	option_text	option_values	variables
radio	Q2: Avoidance: 	1	5	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Talking with people you don't know very well.</h4>	0	5			LSAS_11
radio	Q1: Fear/Anxiety: 	1	5	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	5	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Meeting strangers.</h4>	0	5			LSAS_12
radio	Q1: Fear/Anxiety: 	1	5	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	5	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Urinating in a public bathroom.</h4>	0	6			LSAS_13
radio	Q1: Fear/Anxiety: 	1	6	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	6	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Entering a room when others are already seated.</h4>	0	6			LSAS_14
radio	Q1: Fear/Anxiety: 	1	6	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	6	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Being the center of attention.</h4>	0	6			LSAS_15
radio	Q1: Fear/Anxiety: 	1	6	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	6	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Speaking up at a meeting.</h4>	0	6			LSAS_16
radio	Q1: Fear/Anxiety: 	1	6	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	6	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Taking a test.</h4>	0	7			LSAS_17
radio	Q1: Fear/Anxiety: 	1	7	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	7	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Expressing a disagreement or disapproval to people you don't know very well.</h4>	0	7			LSAS_18
radio	Q1: Fear/Anxiety: 	1	7	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	7	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Looking at people you don't know very well in the eyes.</h4>	0	7			LSAS_19
radio	Q1: Fear/Anxiety: 	1	7	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	7	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Giving a report to a group.</h4>	0	7			LSAS_20
radio	Q1: Fear/Anxiety: 	1	7	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	7	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Trying to pick up someone.</h4>	0	8			LSAS_21
radio	Q1: Fear/Anxiety: 	1	8	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	8	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Returning goods to a store.</h4>	0	8			LSAS_22
radio	Q1: Fear/Anxiety: 	1	8	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	8	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Giving a party.</h4>	0	8			LSAS_23
radio	Q1: Fear/Anxiety: 	1	8	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	8	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	<h4>Resisting a high pressure salesperson.</h4>	0	8			LSAS_24
radio	Q1: Fear/Anxiety: 	1	8	"None, Mild, Moderate, Severe"	"0,1,2,3"	
radio	Q2: Avoidance: 	1	8	"Never(0%), Occasionally (1-33%), Often (33-67%), Usually (67-100%)"	"0,1,2,3"	
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	9			
